id,code_coding1_medicationType_code,code_coding1_medicationType_display,code_coding1_system,code_coding1_code,code_coding1_display,code_coding2_system,code_coding2_code,code_coding2_display,code_coding3_system,code_coding3_code,code_coding3_display,code_text,form_coding1_system,form_coding1_code,form_coding1_display,form_coding2_system,form_coding2_code,form_coding2_display,form_coding3_system,form_coding3_code,form_coding3_display,ingredient_itemCodeableConcept_coding1_system,ingredient_itemCodeableConcept_coding1_code,ingredient_itemCodeableConcept_coding1_display,ingredient_itemCodeableConcept_coding2_system,ingredient_itemCodeableConcept_coding2_code,ingredient_itemCodeableConcept_coding2_display,ingredient_strength_numerator_value,ingredient_strength_numerator_unit,ingredient_strength_numerator_system,ingredient_strength_numerator_code,ingredient_strength_denominator_value,ingredient_strength_denominator_unit,ingredient_strength_denominator_system,ingredient_strength_denominator_code
7044199c-d635-47e4-8471-fed7a1659202,,,,1049630,diphenhydrAMINE Hydrochloride 25 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7900d9cf-c4f1-451b-bcaa-474763572902,,,,1870230,NDA020800 0.3 ML Epinephrine 1 MG/ML Auto-Injector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6ce2821c-20a3-4b9b-8a12-675ce7940e4c,,,,1535362,sodium fluoride 0.0272 MG/MG Oral Gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80bb3cf5-ef82-4bef-b7ad-178d420afb11,,,,313782,Acetaminophen 325 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b7ca5de2-19f5-4716-a534-028b6feb715b,,,,1535362,sodium fluoride 0.0272 MG/MG Oral Gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba93d4e8-3615-442d-8588-7e2f891dfd4c,,,,1535362,sodium fluoride 0.0272 MG/MG Oral Gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a3c22b9-c27e-4c0d-95be-ec68e50c87af,,,,1535362,sodium fluoride 0.0272 MG/MG Oral Gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0d2bed32-5689-433d-8744-0b104d54a35f,,,,1535362,sodium fluoride 0.0272 MG/MG Oral Gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaf0ec1b-409d-45f2-9f2a-a0060225a411,,,,1535362,sodium fluoride 0.0272 MG/MG Oral Gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c9982731-5c34-47f4-b7da-744012b41d4a,,,,313782,Acetaminophen 325 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
