id,old_id,identifier1_type_code,identifier1_type_display,identifier1_type_text,identifier1_system,identifier1_value,identifier2_type_code,identifier2_type_display,identifier2_type_text,identifier2_system,identifier2_value,active,type_coding1_system,type_coding1_code,type_coding1_display,type_coding2_system,type_coding2_code,type_coding2_display,type_text,name,alias1,telecom1_system,telecom1_value,telecom1_use,telecom2_system,telecom2_value,telecom2_use,address1_type,address1_line1,address1_city,address1_state,address1_postalCode,address1_country,address1_text,partOf_reference_type,partOf_reference_id
74ab949d-17ac-3309-83a0-13b4405c66aa,,,,,,,,,,,,,,,,,,,,Fitchburg Outpatient Clinic,,,978-342-9781 Or 978-342-9781,,,,,,881 Main Street,Fitchburg,MA,1420,,,,
e09d4c49-c2ef-3b0f-9a46-3719d9219306,,,,,,,,,,,,,,,,,,,,UMASS MEMORIAL HEALTHALLIANCE CLINTON HOSPITAL INC,,,9784662000,,,,,,60 HOSPITAL RD,LEOMINSTER,MA,14533290,,,,
aa682136-a4df-3942-9f50-e6fcee6c0b73,,,,,,,,,,,,,,,,,,,,SOUTHWOOD AT NORWELL NURSING CTR,,,7819827450,,,,,,501 CORDWAINER DRIVE,NORWELL,MA,20611630,,,,
2936ca90-6594-357d-be14-53fe0ab84dd1,,,,,,,,,,,,,,,,,,,,KINGSBURY PRIMARY CARE PC,,,7815855518,,,,,,11 TREMONT ST,KINGSTON,MA,23641231,,,,
ab701a70-a658-340e-8f69-ee196a7d40c6,,,,,,,,,,,,,,,,,,,,CAREWELL URGENT CARE CENTERS OF MA  PC,,,5086947901,,,,,,484 RTE 134,WORCESTER,MA,16071728,,,,
11ba6a26-59b4-3728-a268-6dc9929962b4,,,,,,,,,,,,,,,,,,,,COURTYARD NURSING CARE CENTER,,,7813915400,,,,,,200 GOVERNORS AVENUE,MEDFORD,MA,21551644,,,,
71472d9b-aa5c-3b49-a5c3-d0eee8859015,,,,,,,,,,,,,,,,,,,,BOURNE FAMILY MEDICINE PC,,,5087430899,,,,,,118 WATERHOUSE RD STE C,BOURNE,MA,25328305,,,,
dcbd0460-9bcf-3e7d-a923-1d22bcc5a9bd,,,,,,,,,,,,,,,,,,,,GENTIVA HEALTH SERVICES,,,4134433525,,,,,,279 DALTON AVENUE  SUITE B,PITTSFIELD,MA,12013500,,,,
fa564970-fde4-332c-91d9-c0747b032d3e,,,,,,,,,,,,,,,,,,,,RIVERBEND OF SOUTH NATICK,,,5086538330,,,,,,34 SOUTH LINCOLN STREET,NATICK,MA,17606049,,,,
1311c44a-85cb-3aea-a143-e5d7892ced8b,,,,,,,,,,,,,,,,,,,,GROVE HILL MEDICAL CENTER PC,,,8602246201,,,,,,300 KENSINGTON AVE,SPRINGFIELD,MA,11071139,,,,
817a1428-2045-3e89-9fa2-ef7d287d6fa5,,,,,,,,,,,,,,,,,,,,GREATER LAWRENCE FAMILY HEALTH CENTER INC,,,9786814769,,,,,,70-71 N PARISH RD,LAWRENCE,MA,1843,,,,
8e3ca57f-6f74-3d61-9803-ab1424290216,,,,,,,,,,,,,,,,,,,,ACADEMY MANOR,,,9784750944,,,,,,89 MORTON STREET,ANDOVER,MA,18102036,,,,
5fcff9db-16e4-3e56-aa78-abbc16338097,,,,,,,,,,,,,,,,,,,,THE LOWELL GENERAL HOSPITAL,,,9789376000,,,,,,295 VARNUM AVE,WESTFORD,MA,18863513,,,,
40c01d75-1542-3e0b-8e5f-78d3031beba1,,,,,,,,,,,,,,,,,,,,PIONEER MEDICAL CENTER,,,9787459449,,,,,,505 PARADISE RD,SALEM,MA,19704267,,,,
93c3d861-e05d-33b9-91eb-1768470229d7,,,,,,,,,,,,,,,,,,,,PAIN AND WELLNESS CENTER,,,9788267230,,,,,,10 CENTENNIAL DR,PEABODY,MA,19607938,,,,
2e1eaaf1-ebb0-332c-8921-f48e15b91879,,,,,,,,,,,,,,,,,,,,ALLIANCE HEALTH AT MARINA BAY,,,6177695100,,,,,,2 SEAPORT DRIVE,QUINCY,MA,21711599,,,,
b99b7849-2b53-33fb-8ce2-e3a95f17ae51,,,,,,,,,,,,,,,,,,,,DIVINE HEALTH LLC,,,5084858080,,,,,,910 BOSTON POST ROAD SUITE 320,MARLBOROUGH,MA,17523761,,,,
f6a306cf-7bd6-35f4-a6b7-2d07d273914c,,,,,,,,,,,,,,,,,,,,APPLE MEDICAL CLINIC MA INC,,,5088611150,,,,,,63 FOUNTAIN ST STE 402,FRAMINGHAM,MA,17026280,,,,
32fcdfba-8c93-30f4-b15b-dd3b65c29deb,,,,,,,,,,,,,,,,,,,,ELAINE CENTER AT HADLEY,,,4135845057,,,,,,20 NORTH MAPLE STREET,HADLEY,MA,10359715,,,,
0ddb0329-b59d-3187-874c-602c649249c8,,,,,,,,,,,,,,,,,,,,BAYSTATE NOBLE HOSPITAL CORPORATION,,,4135682811,,,,,,115 W SILVER ST,WESTFIELD,MA,10853678,,,,
764bf964-6ab7-30eb-885b-3d713ca43265,,,,,,,,,,,,,,,,,,,,OUTER  CAPE HEALTH SERVICES,,,5083493131,,,,,,ROUTE 6   P O BOX 1430,WELLFLEET,MA,26677402,,,,
02c936e2-3aee-38b2-88a4-81f3689b7bb7,,,,,,,,,,,,,,,,,,,,BENJAMIN HEALTHCARE CENTER,,,6177381500,,,,,,120 FISHER AVENUE,BOSTON,MA,21203320,,,,
5f7663da-4b19-3629-b8f2-fb07d75421d9,,,,,,,,,,,,,,,,,,,,ESSEX COUNTY PRIMARY CARE,,,9782338120,,,,,,42 ASBURY ST,SOUTH HAMILTON,MA,19821808,,,,
609ec9f1-e806-3427-b912-9e3b2915521d,,,,,,,,,,,,,,,,,,,,HOLYOKE VISITING NURSE ASSOC,,,4135345691,,,,,,575 BEECH STREET,HOLYOKE,MA,10406604,,,,
bf556284-7513-3620-a10e-5393183a9a87,,,,,,,,,,,,,,,,,,,,STEWARD ST. ANNES HOSPITAL CORPORATION,,,5086745600,,,,,,795 MIDDLE ST,FALL RIVER,MA,27211733,,,,
4ffa4412-1493-3beb-b8f0-6614dde953a4,,,,,,,,,,,,,,,,,,,,SOUTHCOAST HOSPITAL GROUP  INC,,,5086793131,,,,,,363 HIGHLAND AVENUE,WAREHAM,MA,25715011,,,,
